sample_id,source_dataset,target_split,annotation_type,label,original_text,perturbed_text,perturbation_types,random_seed,naturalness_1_to_5,semantic_preservation_yes_no,label_preservation_yes_no,reviewer_notes
sv_efc679e5b916b49fdaf25e25,tarudesu/VOZ-HSD,train,weak_ai,CLEAN,"Đơn này bị shipper nháy máy rồi không giao với lý do Không liên lạc được khách, mất dạy thực sự. Điện thoại mình đang cầm trên tay, nó nháy máy rồi tắt luôn. Đơn đặt trong nội thành TPHCM mà 4 ngày chưa nhận được hàng, vcl.","Đơn này bị shipper nhááy máy rồi ko giao với lý do Hổng liên lạc được khách, mất dạy thực sự. Điện thoại mình đang cầm trên tay, nó nháy máy rồi tắt luôn. Đơn đặt trong nội thành TPHCM mà 4 ngày chưa nhận được hàng, vcl.","[""dialectal_writing"", ""expressive_lengthening"", ""abbreviation_clipping""]",c103349b9a0ea649,,,,
sv_e969d18827372110666d3e20,uitnlp/vihsd,train,human,CLEAN,Ông Trần Dần lại muốn về Việt Nam đó mấy bạn cccđ ạ.không có tiền về Việt Nam sống thì phải chịu thôi chứ về Việt Nam sống và chết tại quê cha đất mẹ vẫn thấy thanh thản hơn.,Ông Trần Dần lại muốn về Việt Nam đó mấy fen cccđ ạ.không có tien về Biệt Nam sống thì phải chịu thôi chứ về Việt Nam sống và chết tại quê cha đất mẹ vẫn thấy thanh thản hơn.,"[""typographical_noise"", ""diacritic_variation"", ""slang_lexical""]",3a086a5dfeced2c0,,,,
sv_7c6e250f5ad7f32202148b46,uitnlp/vihsd,train,human,CLEAN,Vũ đạo đỉnh cao hơn cả Lẹc Pin,Vũ đạo đỉnh cao hơn cảảả LẹcPin,"[""expressive_lengthening"", ""boundary_variation""]",888146b637971949,,,,
sv_82f3b4784b2a76a9aca894fc,uitnlp/vihsd,train,human,CLEAN,Tùng sói độ phùng trang mixi Đứa thứ 2 tên gì ngầu đây ta,Tùng sói độ phùng trnag mixi Đứa thứ 2 tên gì ngầu day ta,"[""typographical_noise"", ""diacritic_variation""]",bcafe36b2b2afbb2,,,,
sv_fa13e803513ef92b2b593f7a,uitnlp/vihsd,train,human,CLEAN,Quang Nghĩa tính tiền cho anh ba,Quang Nghĩ·a tính tiền cho aaaanh ba,"[""surface_obfuscation"", ""expressive_lengthening""]",a0f0b4c8a2919bc2,,,,
sv_972a12569114008c0f6b0bc5,tarudesu/VOZ-HSD,train,weak_ai,HATE,"Vkl, 10cm bằng lúc em chưa *ứng nữa , ông nào làm thống kê ngu học thế","Vkl, 10cm bằng lúc em chưa *ứng nữa , ôngnào làm thống kê ngu học thế","[""boundary_variation""]",370756ba95dc090d,,,,
sv_b9455df4603b899effe48e2e,tarudesu/VOZ-HSD,train,weak_ai,HATE,"Chúng nó nói chuyện với nhau chứ có nói cho ông nghe đâu mà ý kiến! Bao giờ chúng nó nói với ông bà cha mẹ thầy cô mà người ta không hiểu thì ông hẵng chửi! Mà toàn các vozer ít học, bảo thủ đi bày đặt thượng đẳng.","Chúng nó nói chuyyện với nhau chứ có nói cho ông nghe đâu mà ý kiến! Bh chúng nó nói với ông bà cha mẹ thầy cô mà người ta không hiểu thì ông hẵng chửi! Mà toàn các vozer ít học, bảo thủ đi bày đặt thư ợng đẳng.","[""expressive_lengthening"", ""context_dependent"", ""boundary_variation""]",22c86ba3b6612027,,,,
sv_66c94c22d6abcd01a373e88c,tarudesu/VOZ-HSD,train,weak_ai,HATE,"Ngu hết phần chó. Ca này chỉ có văn vở cho qua thôi chứ biết làm sao. Mà có qua được cc, dăm bữa nửa tháng nó lại khều lại","Ngu hết phần chó. Ca này chỉỉỉ có văn vở cho qua tôi chứ biết làm sao. Mà có qua được cc, dăm bữa nửa tháng nó lại khều lại","[""typographical_noise"", ""expressive_lengthening""]",7378d51ef9f54f72,,,,
sv_3d82bb5bcb961cd8deb43458,tarudesu/VOZ-HSD,train,weak_ai,CLEAN,"Người có số đào hoa thì kể cả có xấu tí thì thu hút người khác phái chả khác mật ngọt hút ruồi. Trước chơi với con bạn cùng cảnh mà nó méo xinh gì nhưng ma lực hút zai thì kinh hồn, thằng chồng ly di rồi mà cứ đòi quay lại, mấy thẳng ít tuổi hơn cứ tán lấy tán để, đến nỗi nó khai gian tuổi","Ng có số đào hoa thì kể cả có xấu tí thì thu hút người khác phái chả khác mật ngọt hút ruồi. Trước chơi với con bạn cùng cảnh mà nó méo xinh gì nhưng ma lực hút zai thì kinh hồn, thằng chồng ly di rồi mà cứ đòi quay lại, mấy thẳng ít tuổ-i hơn cứ tán lấy tán để, đến nỗi nó khai gian tuổi","[""abbreviation_clipping"", ""surface_obfuscation""]",289a1cb0a570d494,,,,
sv_2aec18130ea6cf9ab17cde5f,tarudesu/VOZ-HSD,train,weak_ai,HATE,"Bọn bò đỏ với comcom nhắm tầm 1-2 tuần là bị đào thải khỏi cái voz. Còn nếu chúng quá đông như trên facebook thì thôi rồi, ngày tàn của 4rum đã đến","Bọn bò đỏ với comcom nhắm tầm 1-2 tuần là bị đào thải khỏi cái voz. Còn nếu chúng quá đông như trên facebook thì thôi rồi, ngày tàncủa 4rum đã đến","[""boundary_variation""]",240465c2b0d64dd3,,,,
sv_e9eb67fbec693f88c8c580ba,tarudesu/VOZ-HSD,train,weak_ai,HATE,3 cái danh hiệu dbrr cũng so sánh,3 cái danh hiệu dbrr cung so sánh,"[""diacritic_variation""]",211126b7ee83a66d,,,,
sv_dd13972f3e6f4470cf454d1d,tarudesu/VOZ-HSD,train,weak_ai,CLEAN,Vẫn là từ nghèo mà ra nhỉ.,Vẫn là từ ngheo mà ra nhỉ.,"[""diacritic_variation""]",c720af2547191601,,,,
sv_1f3af59cff3a0a0c4f3ce025,uitnlp/vihsd,train,human,CLEAN,t đồng ý vs cách này,t đồg ý vs cáách này,"[""typographical_noise"", ""expressive_lengthening""]",4796c4a6cbfdba0e,,,,
sv_f8ddd3b265f65bbd582366d4,tarudesu/VOZ-HSD,train,weak_ai,HATE,"Kêu bả ác hay thế nào thì đúng chứ phản phúc cc gì fen, làm công ăn lương 15 năm chứ ở đó ngồi không méo làm gì hay sao mà bảo người ta phản phúc. Nhà kia với bả coi như quan hệ win win chứ mịa gì mà phúc hay không.","Kêu bả ác hay thế nào thì đúng chứ phản phúc cc gì fen, làm công ăn lương 15 năm chứ ở đó ngồi không méo làm gì hay sao mà bảo người ta phản phúc. Nhà kia với bả coi như quan hệ win win chứ mịa j mà púc hay không.","[""typographical_noise"", ""intentional_spelling""]",492518ee372509f3,,,,
sv_4b7296d56bfbc56179096beb,uitnlp/vihsd,test,human,CLEAN,"lau lau cai duong lai thay day da ,hiem lam csgt moi phat hien","lau lau cai dung lai thayyyy day da ,h·iem lam csgt moi phat hien","[""typographical_noise"", ""surface_obfuscation"", ""expressive_lengthening""]",91b16a3748dcf80c,,,,
sv_b4d1eb88a6aad5b0477fe693,tarudesu/VOZ-HSD,train,weak_ai,HATE,Mẹ thằng Linh gỗ quá,Mẹẹẹ thằng Linh gỗ quá,"[""expressive_lengthening""]",2feba9609bdb77cc,,,,
sv_1ab82df882b3e0dc989da32d,tarudesu/VOZ-HSD,train,weak_ai,HATE,Thằng này bị thần kinh à,Thằng này bị than ki·nh à,"[""diacritic_variation"", ""surface_obfuscation""]",659d2a2da25758d6,,,,
sv_39fcf04aeaddd4d87e4bc950,uitnlp/vihsd,train,human,CLEAN,Hồ Văn Kiệt bạn có biết khoảnh khắc kì diệu này ở video nào ko ạ?,Hồ Văn Kiệt fen có biết kho ảnh khắc kì diệu này ở video nào ko ạ?,"[""boundary_variation"", ""slang_lexical""]",87f21867a527212e,,,,
sv_22067aa3d3153a0c8a8a62d3,tarudesu/VOZ-HSD,train,weak_ai,HATE,"moá, mấy thằng anti súc vật thế","moá, mấy thằng anti súc vậậật rứa","[""dialectal_writing"", ""expressive_lengthening""]",73e43747b0a53f2a,,,,
sv_29b54e2e62ebf5767518b4de,tarudesu/VOZ-HSD,train,weak_ai,HATE,"Cười vcl con hàng nhà nước ăn hại này, âm vcsh chục ngàn tỷ. Mà cũng một đám bi bô đầu với chả tư. Đợt sau tết nó nhử cho 2 cây trần là một đám lao vào ôm, giờ không biết đã kịp thoát hàng chưa. Hay tới đây lại ôm hận dài.","Cười vcl con hàng nhà nước ăn hại này, âm vcsh fhục ngàn tỷ. Mà cũng một đám bi bô đầu với chả tư. Đợt sau tết nó nhử cho 2 cây trần là một đám lao vào ôm, giờ không biết đã kịp thoát hàng chưa. Hay tới đây lại ôm hận dài.","[""typographical_noise""]",55bd68650ab7c4d9,,,,
sv_96480eb1c300f6e9401207fd,tarudesu/VOZ-HSD,train,weak_ai,CLEAN,giá rẻ chỉ có thế thôi,giá rẻ chỉ co thế thui,"[""phonetic_spelling"", ""diacritic_variation""]",b03786a3595d7fcb,,,,
sv_a14f08840840f64e3ce5f5cb,tarudesu/VOZ-HSD,train,weak_ai,HATE,"Ấy, gọi là súc vật là chúng nó nhảy dựng lên chửi đấy, như chửi đ** mẹ chúng nó vậy, có khi còn gắt hơn.","Ấy, gọi là súc vật là chúng nó nhảy dựng lên chửi đấy, như chửi d** mẹẹ chúng nó vậy, có khi còn gắt hơn.","[""expressive_lengthening"", ""diacritic_variation""]",c5e88d3018aeed54,,,,
sv_b322918387e867154818773a,tarudesu/VOZ-HSD,train,weak_ai,HATE,"Gài đéo gì, vào link mà đọc hết bài báo!","Gài đéo gì, vào lik mà đọc hết bàààài báo!","[""typographical_noise"", ""expressive_lengthening""]",4d436130ca323654,,,,
sv_4891c5f80f50d7f10a76076e,tarudesu/VOZ-HSD,train,weak_ai,CLEAN,"Dùng oled rồi chả wan tâm mấy loai kia, tv to cỡ 98"" thì có thể","Dùng oled rồi chảảảả wan tâm mấy loai kia, tv to cỡ 98"" thì có thể","[""expressive_lengthening""]",693eb6add9780052,,,,
sv_ff13d6be926a6457a8699407,tarudesu/VOZ-HSD,train,weak_ai,HATE,mày ko thấy mới có 2 pages mà đã có những ý kiến trái chiều nhau rồi à? Mà mày nhảy vào đọc mấy dòng của tao lại phán là tao thế này thế nọ? Thằng khùng.,mày ko thấy mới có 2 pages mà đã có những ý kiến trái chiều nhau rồi à? Mà màynhảy vào đọc mấy dòng của tao lại phán là tao rứa này thế nọ? Thhằng khùng.,"[""dialectal_writing"", ""typographical_noise"", ""boundary_variation""]",0d38141e1a08116c,,,,
sv_6460060a3c34bb495fa6213e,uitnlp/vihsd,train,human,CLEAN,Chúc cho team REFUND GAMING và những ai thấy ảnh này 1 năm mới ấm áp bên gia đình và những người mình thương nhé 🥰🥰,Chúc cho team REFUND GAMING và những ai t~hấấấy ảnh này 1 năm mới ấm áp bên gia đình và những người mk thương nhé 🥰🥰,"[""expressive_lengthening"", ""abbreviation_clipping"", ""surface_obfuscation""]",9c30009599b9411a,,,,
sv_c8d012d585a4da6d20169594,tarudesu/VOZ-HSD,train,weak_ai,HATE,"*** mẹ con chó laturo, *** mẹ con chó quạ đặt tít như ***","*** mẹ con chó laturo, *** mẹ con chó quạ đặt tít nhưưưư ***","[""expressive_lengthening""]",9a37309671510f74,,,,
sv_d28f376d8079c35c67c93834,tarudesu/VOZ-HSD,train,weak_ai,HATE,lũ mất dạy,lu mấấất dạy,"[""expressive_lengthening"", ""diacritic_variation""]",46490a2a3ea2ba3b,,,,
sv_bce0445fb22992836606699e,uitnlp/vihsd,train,human,CLEAN,Chơi mua mấy mô hình đồ chơi khoảng từ triệu đến chục triệu,Chơi mua mấy mô hình đồ chơi kho ảng từ truệu đến chục triệu,"[""boundary_variation"", ""typographical_noise""]",a0edcbf45952423f,,,,
sv_6125c45b4be766d251b6b0bf,tarudesu/VOZ-HSD,train,weak_ai,HATE,Loại bá dơ,Loạạạibá dơ,"[""boundary_variation"", ""expressive_lengthening""]",cc8a7e390911e59a,,,,
sv_f3e32411306ab2e05f65c3a6,tarudesu/VOZ-HSD,train,weak_ai,HATE,Park lợn cút mẹ luôn đi.,Park lợn cúút me luôn đi.,"[""expressive_lengthening"", ""diacritic_variation""]",c732dfc499c1302b,,,,
sv_216fb12141ac290e968da952,uitnlp/vihsd,validation,human,CLEAN,Miền Tây yêu dấu của tui,Miềền Tây yêu dấu của tui,"[""typographical_noise""]",f66afd03e1fb1a46,,,,
sv_8d4effeac282dfae802f305f,tarudesu/VOZ-HSD,train,weak_ai,HATE,"sáng tạo cái mới,đi lấy cái cũ vẽ cc qq gì tá lả ,đéo hiểu thời nay nghĩ gì nữa,này cũng là 1 kiểu bánh vẽ","sáng tạo cái mới,đi lấy cái cũ vẽ cc qq gi tá lả ,đéo hiểu thời nay nghĩ gì nữa,này cũng là 1 kiểu bánh vẽ","[""diacritic_variation""]",4fb282199cf3f729,,,,
sv_e76a2962ef18635da5087406,tarudesu/VOZ-HSD,train,weak_ai,HATE,Tao nói cái nào 3 xu ? Fan thằng tùng thể loại gì thì cũng biết,Tao nói cái nào 3 xu ? Fan thằng tùng thể loại gì thì cx biết,"[""intentional_spelling""]",1a003239d0524786,,,,
sv_3e00d42516e004fbe3e9bb2e,uitnlp/vihsd,train,human,CLEAN,khổ thân cmt ko ai like cho lên top,khổ thân cmt ko ai like cho lêêêên top,"[""expressive_lengthening""]",68db2624e5cf737d,,,,
sv_0199589ba2b2c5d357917d50,tarudesu/VOZ-HSD,train,weak_ai,CLEAN,Khi chính sách nó free thì tôi là món hàng,Khi chhính sác~h nó free thì tôi là mónhàng,"[""surface_obfuscation"", ""typographical_noise"", ""boundary_variation""]",bf016a4640aa6df7,,,,
sv_4b7d18384e2e04540bcfe6c1,uitnlp/vihsd,train,human,HATE,Toàn là xạo lôz :))) sủa ko lại đi block nhau còn bày đặt tự do với chả ngôn lù ngôn luận,Toàn là xạo lôz :))) sủa ko lại đi block nhau còn bày đặt tự do với cha ngôn lù ngôn luận,"[""diacritic_variation""]",eebb6188c026b73a,,,,
sv_1db1e353db506f6e99ca485e,tarudesu/VOZ-HSD,train,weak_ai,HATE,Thằng ngu này đợt xuống hà lội làm kế toán chả bị thằng wenbie nó đấm cho to đầu ra chứ quan hệ gì,Thằng ngu này đợtxuống hà lội làààm kế toán chả bị thằng wenbie nó đấm cho to đầu ra chu quan hệ gì,"[""expressive_lengthening"", ""diacritic_variation"", ""boundary_variation""]",65ca6664b6402bd1,,,,
sv_6cfe388f4832c30b13dcfae2,uitnlp/vihsd,train,human,CLEAN,Thuỷ Tiênn,Thuỷ Tiêênn,"[""expressive_lengthening""]",2a2184c2d34fe2ad,,,,
sv_eff6479ed03b6e6134874b84,tarudesu/VOZ-HSD,train,weak_ai,CLEAN,Cáo chê nho,Cááo chê nho,"[""expressive_lengthening""]",fb9a640e6c531c09,,,,
sv_321956ac2d7b2fa767d2e957,tarudesu/VOZ-HSD,train,weak_ai,HATE,Tàu - concho mõm,T-àu - conccho mõm,"[""typographical_noise"", ""surface_obfuscation""]",a3903e1bfd83220d,,,,
sv_9e45edafc8822fb284a48909,tarudesu/VOZ-HSD,train,weak_ai,HATE,Đừng xem nữa bạn ơi ! Biết c*t nó thối mà vẫn cố ngửi vậy nhỉ !,Đừng xem nữa fen ơi ! Biết c*t nóthối ma vẫn cố ngửi vậy nhỉ !,"[""slang_lexical"", ""diacritic_variation"", ""boundary_variation""]",9b1478eee1159353,,,,
sv_c34c0975e16929cbcff37d5d,uitnlp/vihsd,train,human,CLEAN,Át này là vợ lão Tô Huy Rứa đấy,Át nay là vợ lão Tô H~uy Rứa đấy,"[""diacritic_variation"", ""surface_obfuscation""]",aa5d09ab69f7c8b4,,,,
sv_7df8b1fc38476ee91ad35c47,tarudesu/VOZ-HSD,train,weak_ai,HATE,"Sặc giống nhỉ , con mụ đó ăn chơi mà rẻ rách ghê","Sặc giống nhỉ , con mụ đó ăn chơi mà rẻ rách g·hê","[""surface_obfuscation""]",6d4a8efbbd6373c7,,,,
sv_56cab9d443b3f0e001f88b1a,tarudesu/VOZ-HSD,train,weak_ai,HATE,"full sức mạnh bà bánh quy đập thằng bom ra bã chứ, thằng đồng bọn ăn 1 hit đi bụi rồi, bả cho thằng gon tập sự thôi.","full sức mạnh bà bánh quy đập thằng bom ra bã chứ, thằng đồngbọn ăn 1 hit đi bụi rùi, bả cho thằng gon tập sự thôi.","[""intentional_spelling"", ""boundary_variation""]",b2b46cc75488b145,,,,
sv_ccbf16135b68b8038c380c14,tarudesu/VOZ-HSD,train,weak_ai,CLEAN,"thuốc tê hết nhanh nha bác, em bị may sống lúc hết thuốc tê đây.Nếu lái xe ô tô thì ok còn xe máy thì thôi nên khuyên đi xe khách càng sạch càng tốt nhé.Để mốt em rảnh làm 1 bài viết quá trình đi khám và tiểu phẩu thế nào cho các bác kham khảo","thuốc tê hết nhanh nha bá~c, em bị may sống lúc hết thuốc tê đây.Nếu lái xe ô tô thì ok coon xe máy thì thôi nên khuyên đi xe khách càng sạch càng tốt nhé.Để mốt em rảnh làm 1 bài viết quá trình đi khám và tiểu phẩu thế nào cho các bác kham khảo","[""expressive_lengthening"", ""surface_obfuscation"", ""diacritic_variation""]",10b1ed1baafd096d,,,,
sv_e35a02084642d434d6481cea,tarudesu/VOZ-HSD,train,weak_ai,HATE,"đọc lúc đầu tưởng thật nè thím, cml lấy ở đâu rồi post câu view, mai này nó dính thật cho ccmd.","đọc lúc đầu tưởng thật nè thím, cml lấy ở đâu rồi post câu view, mai này nó dính t_hật choo ccmd.","[""expressive_lengthening"", ""surface_obfuscation""]",87d0559e10af44ba,,,,
sv_09edba53a123210d51592ba2,tarudesu/VOZ-HSD,train,weak_ai,CLEAN,Sao lúc đầu dịch doanh thu gấp 10 ko lên khoe?,Sao lúc đầu dịch doanh thu gấp 10 koolên khoe?,"[""expressive_lengthening"", ""boundary_variation""]",db55c1ab4345b36e,,,,
sv_1effda0b9d297e9d365ca530,uitnlp/vihsd,train,human,HATE,cú có Gai🤣,cú có Gaii🤣,"[""expressive_lengthening""]",d38219e506659035,,,,
sv_bbfdeb83a2c1eefdae2fc97f,tarudesu/VOZ-HSD,train,weak_ai,HATE,Kiểu éo gì cũng phải nhét 1 thằng Anh lợn vô được Đúng là bóng đá mà đá bằng mồm chắc Anh vô địch vũ trụ,Kiể.u éo gì cũng phải nhét 1 thằng Anh lợn vô đc Đúng là bóng đá mà đá bằng mồồồm chắc Anh vô địch vũ trụ,"[""expressive_lengthening"", ""surface_obfuscation"", ""abbreviation_clipping""]",d169d08839401cdf,,,,
sv_47b9acb450bc6480a6bf16f4,tarudesu/VOZ-HSD,train,weak_ai,HATE,còn cái loại đéo trả lời dc còn vô thả 1 câu tỏ ra nguy hiểm cũng nên cút về cái ổ tinhte mà thủ dâm,còn cái loại đéo trảlời dc còn vô thả 1 câu tỏ ra nguy hiểm cũng nên cút về cái ổ tinhte mà thủ dâm,"[""boundary_variation""]",73a01a367ca3f88e,,,,
sv_36d29f4e5fe616a3d1531eec,tarudesu/VOZ-HSD,train,weak_ai,HATE,"Bát bát ccc, up tấm hình lên cao to đẹp trai hơn trư thì nói chuyện bát boi, hay toàn mấy thằng ảo tưởng xạo lol :","Bát bááát ccc, up tấm hình lên cao to đẹp trai hơn trư thì nc bát boi, hay toàn mấy thằng ảo tưởng xạo lol :","[""expressive_lengthening"", ""abbreviation_clipping""]",b9d35ca77b9a5012,,,,
sv_ca4ece9b7a2ec89da00b2883,tarudesu/VOZ-HSD,train,weak_ai,HATE,Mấy con bò lại chuẩn bị mang tỉ trọng dịch vụ chiếm 80% ra bây giờ đó.,Mấy con bò lại chuẩn bị mang tỉ trọng dịch vụ chiiiếm 80% ra bây giờ đó.,"[""expressive_lengthening""]",c78f281199c4a091,,,,
sv_bc7db96ae2eb97932953c638,tarudesu/VOZ-HSD,train,weak_ai,CLEAN,442 kim cương nhé my pence,442 kim cươn_gnhé my pence,"[""boundary_variation"", ""surface_obfuscation""]",6f71c894683f981b,,,,
sv_ac4528806afd1a4b3d617970,tarudesu/VOZ-HSD,train,weak_ai,HATE,"Vãi lol trao quyền lực, vai trò lãnh đạo , trách nhiệm cho bọn thất học, lười học, học dốt, lêu lổng ko vào đc đại học xong làm công nhân. Hèn chi hòa bình 45 năm vẫn éo phát triển nổi.","Vãi lol trao quyền lực, vai trò lãnh đạo , trách nh·iệm cho bọn thất học, lười học, học dốt, lêu lổng kooo dzô đc đại học xong làm công nhân. Hèn chi hòa bình 45 năm vẫn éo phát triển nổi.","[""expressive_lengthening"", ""surface_obfuscation"", ""dialectal_writing""]",9a39eb5d4098a83e,,,,
sv_10887491e401b1a1b36613b7,tarudesu/VOZ-HSD,train,weak_ai,CLEAN,"Trả vàng chứ thím, nó nói nào có mới trả, mà cưới xong nó bán lấy vốn đi buôn, rồi 2 vk ck im ru đến giờ luôn, gần 1 năm rồi, B bây giờ đang cần tiền","Trả vàng chứ thím, nó nói nào có mới trả, mà cưới xong nó bán lay vốn đi buôn, rôôôồi 2 vk ck im ru đến giờ luôn, gần 1 năm rồi, B bây giờ đang cần tiền","[""expressive_lengthening"", ""diacritic_variation""]",75ec18b7f120ceff,,,,
sv_e792014382cacefcd6810fab,tarudesu/VOZ-HSD,train,weak_ai,HATE,Teo cmn ch**,Te.o cmn ch**,"[""surface_obfuscation""]",7a9c484a8c2392f8,,,,
sv_da7c366a8a49fa3fbdc1facd,uitnlp/vihsd,train,human,CLEAN,Quang Nguyễn Đức tiếp xúc khoảng mười mấy ng á b.. Đc đưa đi cách ly rồi.. Phan thiết bị phong tỏa mấy đoạn đường cơ 😭😥,Quang Nguyễn Đức tiếp xúc khoảng mười mấy ng á b.. Đc đưa đi cách ly rồiii.. Pan thiết bị phong toa mấy đoạn đường cơ 😭😥,"[""expressive_lengthening"", ""diacritic_variation"", ""typographical_noise""]",83674bd25a89c0e2,,,,
sv_3d33216daef2282e9933203c,tarudesu/VOZ-HSD,train,weak_ai,CLEAN,Cái này có phải cái cầu bị nứt mà kêu là hiệu ứng 3d không nhỉ,Cái này có p~hải cái cầu bị nứt mà kêu là hiệu ứng 3d hong nhỉ,"[""surface_obfuscation"", ""phonetic_spelling"", ""diacritic_variation""]",3f79ac3b78b3c542,,,,
sv_e16c6b0888ce92b17dde598b,uitnlp/vihsd,train,human,CLEAN,Thanh niên chắc cắn móng tay nhiều quá :))),Thanh niên chắc can móng tay nhiều qá :))),"[""intentional_spelling"", ""diacritic_variation""]",25b8cc259b1e3474,,,,
sv_37214ec5f19d1811e66a9073,tarudesu/VOZ-HSD,train,weak_ai,CLEAN,"Kinh cl, ăn chưa đúng chỗ, ko biết cách ăn thôi. Mà chợ đêm bán cơm tô là cho dân lao động, vì thiếu bàn ghế nên bán cơm trong tô, dùng tô ăn để khỏi đổ. Đố đứa nào có thể vừa ngồi xổm vừa bưng dĩa để ăn","Kinh cl, ăn chưa đúng chỗ, ko bt cách ăn thôi. Mà chợ đêm bán cơm tô là cho dân lao động, vì thiếu bàn ghế nên bán cơm trong tô, dùng tô ăn để khỏi đổ. Đố đứa nào có thể vừa ngồi xổm vừa bưng dĩa để ăn","[""abbreviation_clipping""]",f492e0836edbfed6,,,,
sv_c2afb460997814370eb42f38,tarudesu/VOZ-HSD,train,weak_ai,HATE,Đị t mẹ mày thằng ngu - South Gates said.,Di t mẹ màythằng ngu - South Gates saiiiid.,"[""diacritic_variation"", ""boundary_variation"", ""expressive_lengthening""]",db5e715f5810b4f8,,,,
